ref_area.label,indicator.label,source.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Total,Occupation (ISCO-08): Total,2018,130,,,Currency: ARG - Argentine peso (ARS) | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Total,Occupation (ISCO-08): 1. Managers,2018,275,,,Currency: ARG - Argentine peso (ARS) | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Total,Occupation (ISCO-08): 2. Professionals,2018,216,,,Currency: ARG - Argentine peso (ARS) | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Total,Occupation (ISCO-08): 3. Technicians and associate professionals,2018,154,,,Currency: ARG - Argentine peso (ARS) | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Total,Occupation (ISCO-08): 4. Clerical support workers,2018,144,,,Currency: ARG - Argentine peso (ARS) | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Total,Occupation (ISCO-08): 5. Service and sales workers,2018,93,,,Currency: ARG - Argentine peso (ARS) | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Total,"Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers",2018,94,,,Currency: ARG - Argentine peso (ARS) | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Total,Occupation (ISCO-08): 7. Craft and related trades workers,2018,103,,,Currency: ARG - Argentine peso (ARS) | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Total,"Occupation (ISCO-08): 8. Plant and machine operators, and assemblers",2018,111,,,Currency: ARG - Argentine peso (ARS) | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Total,Occupation (ISCO-08): 9. Elementary occupations,2018,94,,,Currency: ARG - Argentine peso (ARS) | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
